subject,age,age_demeaned,accuracy,acc_demeaned
temple016,31.1,16.44,0.9375,0.1635
temple019,26.19,11.53,0.9375,0.1635
temple020,23.11,8.45,0.8125,0.0385
temple022,29.05,14.39,0.59375,-0.18025
temple023,25.33,10.67,0.5625,-0.2115
temple024,28.29,13.63,0.53125,-0.24275
temple025,28.94,14.28,1,0.226
temple029,11.04,-3.62,0.90625,0.13225
temple030,10.4,-4.26,0.53125,-0.24275
temple032,12.98,-1.68,1,0.226
temple033,11.4,-3.26,0.46875,-0.30525
temple034,9.81,-4.85,0.75,-0.024
temple035,11.27,-3.39,0.40625,-0.36775
temple036,11.04,-3.62,0.90625,0.13225
temple037,24.39,9.73,1,0.226
temple038,12.19,-2.47,0.65625,-0.11775
temple041,7.9,-6.76,0.4375,-0.3365
temple042,12.19,-2.47,0.9375,0.1635
temple045,12.57,-2.09,0.59375,-0.18025
temple050,34.98,20.32,1,0.226
temple051,10.71,-3.95,0.8125,0.0385
temple053,9.33,-5.33,0.875,0.101
temple056,18.47,3.81,0.59375,-0.18025
temple057,20.61,5.95,0.625,-0.149
temple058,21.49,6.83,0.71875,-0.05525
temple059,20.26,5.6,1,0.226
temple060,10.07,-4.59,0.59375,-0.18025
temple063,10.72,-3.94,0.78125,0.00725
temple064,7.36,-7.3,0.46875,-0.30525
temple065,9.45,-5.21,0.4375,-0.3365
temple066,9.97,-4.69,0.75,-0.024
temple068,9.76,-4.9,0.625,-0.149
temple069,9.67,-4.99,0.5,-0.274
temple070,7.47,-7.19,0.5,-0.274
temple071,27.31,12.65,1,0.226
temple072,19.53,4.87,0.65625,-0.11775
temple073,32.17,17.51,1,0.226
temple074,20.21,5.55,1,0.226
temple075,20.37,5.71,0.9375,0.1635
temple076,21.25,6.59,1,0.226
temple078,7.79,-6.87,0.875,0.101
temple079,10.79,-3.87,1,0.226
temple082,11.37,-3.29,0.4375,-0.3365
temple083,12.89,-1.77,1,0.226
temple084,8.77,-5.89,0.4375,-0.3365
temple085,11.46,-3.2,0.34375,-0.43025
temple087,23.23,8.57,0.9375,0.1635
temple088,21.85,7.19,1,0.226
temple089,19.34,4.68,1,0.226
temple090,12.52,-2.14,1,0.226
temple091,11.28,-3.38,0.9375,0.1635
temple092,8.87,-5.79,0.375,-0.399
temple093,10.28,-4.38,0.90625,0.13225
temple094,8.38,-6.28,1,0.226
temple095,8.04,-6.62,0.6875,-0.0865
temple096,11.4,-3.26,0.71875,-0.05525
temple097,7.8,-6.86,0.65625,-0.11775
temple098,8.44,-6.22,0.65625,-0.11775
temple099,19.88,5.22,0.96875,0.19475
temple103,12.21,-2.45,1,0.226
temple105,18.56,3.9,1,0.226
temple106,20.19,5.53,0.96875,0.19475
temple107,9.14,-5.52,0.875,0.101
temple108,18.93,4.27,1,0.226
temple109,11.76,-2.9,0.90625,0.13225
temple110,12.74,-1.92,1,0.226
temple111,12.29,-2.37,1,0.226
temple112,10.3,-4.36,0.6875,-0.0865
temple113,9.91,-4.75,0.75,-0.024
temple114,8.8,-5.86,0.9375,0.1635
temple115,7.33,-7.33,0.53125,-0.24275
temple116,7.16,-7.5,0.34375,-0.43025
temple117,10.65,-4.01,0.96875,0.19475
temple119,22.16,7.5,1,0.226
temple120,20.65,5.99,1,0.226
temple121,10.94,-3.72,1,0.226
temple122,8.49,-6.17,0.6875,-0.0865
temple123,19.3,4.64,0.90625,0.13225
temple124,20.35,5.69,1,0.226
temple125,8.75,-5.91,0.3125,-0.4615
temple126,10.2,-4.46,0.5625,-0.2115
temple127,8.08,-6.58,0.6875,-0.0865
temple128,10.7,-3.96,1,0.226
temple129,9.09,-5.57,0.71875,-0.05525
temple130,8.04,-6.62,0.34375,-0.43025
temple132,9.22,-5.44,0.5625,-0.2115
,,,,